"Period";"Ergebnis"
"1991Q1";54,5
"1991Q2";53,2666666666667
"1991Q3";53,4333333333333
"1991Q4";54,3666666666667
"1992Q1";54,7333333333333
"1992Q2";52,2333333333333
"1992Q3";50,3
"1992Q4";48,3333333333333
"1993Q1";46,8666666666667
"1993Q2";46,2
"1993Q3";47,2
"1993Q4";48,3666666666667
"1994Q1";48,8666666666667
"1994Q2";50,3333333333333
"1994Q3";51,2666666666667
"1994Q4";54,4666666666667
"1995Q1";53,1666666666667
"1995Q2";53
"1995Q3";52,9333333333333
"1995Q4";52
"1996Q1";51,7
"1996Q2";52,7333333333333
"1996Q3";53,1666666666667
"1996Q4";53,5333333333333
"1997Q1";54,9666666666667
"1997Q2";56,7333333333333
"1997Q3";58,1
"1997Q4";58,7333333333333
"1998Q1";60,2333333333333
"1998Q2";60,1
"1998Q3";59,2666666666667
"1998Q4";57,5333333333333
"1999Q1";57,4666666666667
"1999Q2";59
"1999Q3";62,4
"1999Q4";64,1333333333333
"2000Q1";65,6666666666667
"2000Q2";69,6666666666667
"2000Q3";71,4
"2000Q4";72,4
"2001Q1";70,7
"2001Q2";69,5333333333333
"2001Q3";67,8666666666667
"2001Q4";66,7333333333333
"2002Q1";67,4666666666667
"2002Q2";69,6
"2002Q3";69,5666666666667
"2002Q4";69,1
"2003Q1";69,3
"2003Q2";68,2333333333333
"2003Q3";69,1333333333333
"2003Q4";71,6333333333333
"2004Q1";72,1
"2004Q2";74,4
"2004Q3";74,6333333333333
"2004Q4";75,8
"2005Q1";76,0333333333333
"2005Q2";76,9333333333333
"2005Q3";80,2
"2005Q4";83,5333333333333
"2006Q1";84,3666666666667
"2006Q2";86,6333333333333
"2006Q3";90,2
"2006Q4";90,8666666666667
"2007Q1";94,6
"2007Q2";97,6666666666667
"2007Q3";96,5333333333333
"2007Q4";101,9
"2008Q1";99,6666666666667
"2008Q2";97,0666666666667
"2008Q3";93,0666666666667
"2008Q4";77,0666666666667
"2009Q1";64,2333333333333
"2009Q2";66,6666666666667
"2009Q3";72,9333333333333
"2009Q4";74,3
"2010Q1";79,1666666666667
"2010Q2";86,3666666666667
"2010Q3";88,9666666666667
"2010Q4";91,9333333333333
"2011Q1";96,1666666666667
"2011Q2";97,9333333333333
"2011Q3";95,2333333333333
"2011Q4";92,8
"2012Q1";93,3666666666667
"2012Q2";93,4666666666667
"2012Q3";92,4333333333333
"2012Q4";92,5
"2013Q1";93,5
"2013Q2";94,1
"2013Q3";95,8333333333333
"2013Q4";96,9666666666667
"2014Q1";97,4666666666667
"2014Q2";95,7666666666667
"2014Q3";98,2666666666667
"2014Q4";99,4666666666667
"2015Q1";99,1666666666667
"2015Q2";101,633333333333
"2015Q3";99,8
"2015Q4";98,6333333333333
"2016Q1";99,5
"2016Q2";99,6
"2016Q3";100,166666666667
"2016Q4";103,6
"2017Q1";104,766666666667
"2017Q2";106,9
"2017Q3";109,266666666667
"2017Q4";113,3
"2018Q1";110,933333333333
"2018Q2";109,866666666667
"2018Q3";109,233333333333
"2018Q4";109,8
