"Period";"Deutschland"
"1991Q4";-59
"1992Q1";-44
"1992Q2";-9,1
"1992Q3";-24,8333333333333
"1992Q4";-58,4666666666667
"1993Q1";-38,6333333333333
"1993Q2";-15,2333333333333
"1993Q3";26,9
"1993Q4";26,7666666666667
"1994Q1";47,6333333333333
"1994Q2";82,7666666666667
"1994Q3";82,7333333333333
"1994Q4";74,7
"1995Q1";58,2333333333333
"1995Q2";9,53333333333333
"1995Q3";13,7666666666667
"1995Q4";-1,93333333333333
"1996Q1";19,8
"1996Q2";54,9333333333333
"1996Q3";66,5333333333333
"1996Q4";73,3666666666667
"1997Q1";66,2666666666667
"1997Q2";70,4
"1997Q3";68,3666666666667
"1997Q4";69,4333333333333
"1998Q1";47,2
"1998Q2";65,5
"1998Q3";49,7666666666667
"1998Q4";-16,3333333333333
"1999Q1";-7,5
"1999Q2";43,9333333333333
"1999Q3";76,3333333333333
"1999Q4";83,7666666666667
"2000Q1";86,2666666666667
"2000Q2";80,3666666666667
"2000Q3";60,1333333333333
"2000Q4";9,66666666666667
"2001Q1";-6,96666666666667
"2001Q2";-5,63333333333333
"2001Q3";7,73333333333333
"2001Q4";16,2333333333333
"2002Q1";52,4333333333333
"2002Q2";68,8333333333333
"2002Q3";50,6666666666667
"2002Q4";9,4
"2003Q1";15,5666666666667
"2003Q2";19,4666666666667
"2003Q3";51,7666666666667
"2003Q4";66,9666666666667
"2004Q1";66,8
"2004Q2";47,8333333333333
"2004Q3";44,0333333333333
"2004Q4";19,8666666666667
"2005Q1";33,0333333333333
"2005Q2";17,8333333333333
"2005Q3";41,8666666666667
"2005Q4";46,5666666666667
"2006Q1";68,0666666666667
"2006Q2";50,1666666666667
"2006Q3";-4,23333333333333
"2006Q4";-24,9666666666667
"2007Q1";1,7
"2007Q2";20,2666666666667
"2007Q3";-4,86666666666667
"2007Q4";-29,2666666666667
"2008Q1";-37,7
"2008Q2";-44,8333333333333
"2008Q3";-53,5
"2008Q4";-53,9
"2009Q1";-13,4333333333333
"2009Q2";29,6333333333333
"2009Q3";51,1
"2009Q4";52,5
"2010Q1";45,6
"2010Q2";42,5
"2010Q3";10,3
"2010Q4";-0,366666666666667
"2011Q1";15,0666666666667
"2011Q2";0,566666666666667
"2011Q3";-32
"2011Q4";-52,4333333333333
"2012Q1";2,03333333333333
"2012Q2";5,76666666666667
"2012Q3";-21,1
"2012Q4";-6,76666666666667
"2013Q1";42,7333333333333
"2013Q2";37,0666666666667
"2013Q3";42,6333333333333
"2013Q4";56,4666666666667
"2014Q1";54,6666666666667
"2014Q2";35,3666666666667
"2014Q3";14,2
"2014Q4";14,2666666666667
"2015Q1";52,0666666666667
"2015Q2";42,2333333333333
"2015Q3";22,2666666666667
"2015Q4";9,46666666666667
"2016Q1";5,16666666666667
"2016Q2";12,2666666666667
"2016Q3";-1,93333333333333
"2016Q4";11,2666666666667
"2017Q1";13,2666666666667
"2017Q2";19,5666666666667
"2017Q3";14,8333333333333
"2017Q4";17,9
"2018Q1";14,4333333333333
"2018Q2";-10,8333333333333
"2018Q3";-16,3333333333333
"2018Q4";-22,1
"2019Q1";-14,2
