"Period";"Deutschland"
"1991Q4";9,2
"1992Q1";-0,833333333333333
"1992Q2";-10,7333333333333
"1992Q3";-29,8666666666667
"1992Q4";-78,1
"1993Q1";-95,2333333333333
"1993Q2";-97,2
"1993Q3";-96,6666666666667
"1993Q4";-97,5
"1994Q1";-96,4666666666667
"1994Q2";-80,0666666666667
"1994Q3";-31,4333333333333
"1994Q4";0,9
"1995Q1";17,6666666666667
"1995Q2";13,1666666666667
"1995Q3";6,83333333333333
"1995Q4";-9,43333333333333
"1996Q1";-58,3333333333333
"1996Q2";-80,6
"1996Q3";-72,2333333333333
"1996Q4";-52,8333333333333
"1997Q1";-54,5
"1997Q2";-50,8333333333333
"1997Q3";-37,9
"1997Q4";-22,5
"1998Q1";-20,4333333333333
"1998Q2";-6,73333333333333
"1998Q3";4,23333333333333
"1998Q4";-1,93333333333333
"1999Q1";-16,7
"1999Q2";-29,1
"1999Q3";-11,8
"1999Q4";-2,1
"2000Q1";14,7
"2000Q2";29,6333333333333
"2000Q3";43,5
"2000Q4";38,5666666666667
"2001Q1";22
"2001Q2";-7,4
"2001Q3";-52,1333333333333
"2001Q4";-77,6333333333333
"2002Q1";-83,6333333333333
"2002Q2";-77,7666666666667
"2002Q3";-78,3
"2002Q4";-93,3333333333333
"2003Q1";-95,1666666666667
"2003Q2";-95,5666666666667
"2003Q3";-93,3666666666667
"2003Q4";-86,2
"2004Q1";-72,6
"2004Q2";-72,7333333333333
"2004Q3";-65,3333333333333
"2004Q4";-60,3
"2005Q1";-61,9666666666667
"2005Q2";-70,7666666666667
"2005Q3";-61,9666666666667
"2005Q4";-52,5333333333333
"2006Q1";-19,8333333333333
"2006Q2";7,83333333333333
"2006Q3";31,9333333333333
"2006Q4";53,1333333333333
"2007Q1";70,2333333333333
"2007Q2";84,5333333333333
"2007Q3";80,9333333333333
"2007Q4";67,9
"2008Q1";40,8
"2008Q2";36,4666666666667
"2008Q3";2,26666666666667
"2008Q4";-50,2666666666667
"2009Q1";-84,2333333333333
"2009Q2";-91,3666666666667
"2009Q3";-80,1666666666667
"2009Q4";-66,1333333333333
"2010Q1";-54,4333333333333
"2010Q2";-22,9
"2010Q3";39,6
"2010Q4";78,9
"2011Q1";84,4666666666667
"2011Q2";88,7333333333333
"2011Q3";62,5666666666667
"2011Q4";33,1333333333333
"2012Q1";35,4333333333333
"2012Q2";39,3333333333333
"2012Q3";17,3
"2012Q4";7,03333333333333
"2013Q1";8,63333333333333
"2013Q2";8,9
"2013Q3";19,8333333333333
"2013Q4";30,2666666666667
"2014Q1";47,5
"2014Q2";63,1
"2014Q3";43,8333333333333
"2014Q4";5,5
"2015Q1";41
"2015Q2";66,2666666666667
"2015Q3";65,7
"2015Q4";54,8666666666667
"2016Q1";54,2333333333333
"2016Q2";51,7666666666667
"2016Q3";54,1666666666667
"2016Q4";60,6
"2017Q1";77
"2017Q2";84
"2017Q3";87
"2017Q4";88,3666666666667
"2018Q1";92,7333333333333
"2018Q2";85,3
"2018Q3";73,6666666666667
"2018Q4";57,8666666666667
"2019Q1";21,3
