"Datum";"Percentage"
"1999Q1";3
"1999Q2";2,54395604395604
"1999Q3";2,5
"1999Q4";2,80978260869565
"2000Q1";3,1978021978022
"2000Q2";3,7967032967033
"2000Q3";4,33152173913043
"2000Q4";4,73641304347826
"2001Q1";4,75
"2001Q2";4,60989010989011
"2001Q3";4,34510869565217
"2001Q4";3,46195652173913
"2002Q1";3,25
"2002Q2";3,25
"2002Q3";3,25
"2002Q4";3,10869565217391
"2003Q1";2,68055555555556
"2003Q2";2,36263736263736
"2003Q3";2
"2003Q4";2
"2004Q1";2
"2004Q2";2
"2004Q3";2
"2004Q4";2
"2005Q1";2
"2005Q2";2
"2005Q3";2
"2005Q4";2,07065217391304
"2006Q1";2,31666666666667
"2006Q2";2,54395604395604
"2006Q3";2,89402173913043
"2006Q4";3,27445652173913
"2007Q1";3,55
"2007Q2";3,79945054945055
"2007Q3";4
"2007Q4";4
"2008Q1";4
"2008Q2";4
"2008Q3";4,22826086956522
"2008Q4";3,375
"2009Q1";1,99444444444444
"2009Q2";1,13461538461538
"2009Q3";1
"2009Q4";1
"2010Q1";1
"2010Q2";1
"2010Q3";1
"2010Q4";1
"2011Q1";1
"2011Q2";1,21703296703297
"2011Q3";1,46739130434783
"2011Q4";1,3070652173913
"2012Q1";1
"2012Q2";1
"2012Q3";0,777173913043478
"2012Q4";0,75
"2013Q1";0,75
"2013Q2";0,601648351648352
"2013Q3";0,5
"2013Q4";0,366847826086957
"2014Q1";0,25
"2014Q2";0,228021978021978
"2014Q3";0,127173913043478
"2014Q4";0,05
"2015Q1";0,05
"2015Q2";0,05
"2015Q3";0,05
"2015Q4";0,05
"2016Q1";0,0412087912087912
"2016Q2";0
"2016Q3";0
"2016Q4";0
"2017Q1";0
"2017Q2";0
"2017Q3";0
"2017Q4";0
"2018Q1";0
"2018Q2";0
"2018Q3";0
"2018Q4";0
"2019Q1";0
