"Datum";"Percentage"
"1990Q3";8
"1990Q4";7,58695652173913
"1991Q1";6,37777777777778
"1991Q2";5,82967032967033
"1991Q3";5,54891304347826
"1991Q4";4,79347826086957
"1992Q1";4
"1992Q2";3,77197802197802
"1992Q3";3,1820652173913
"1992Q4";3
"1993Q1";3
"1993Q2";3
"1993Q3";3
"1993Q4";3
"1994Q1";3,18333333333333
"1994Q2";3,95054945054945
"1994Q3";4,5
"1994Q4";5,13315217391304
"1995Q1";5,82777777777778
"1995Q2";6
"1995Q3";5,76358695652174
"1995Q4";5,71467391304348
"1996Q1";5,33241758241758
"1996Q2";5,25
"1996Q3";5,25
"1996Q4";5,25
"1997Q1";5,26944444444444
"1997Q2";5,5
"1997Q3";5,5
"1997Q4";5,5
"1998Q1";5,5
"1998Q2";5,5
"1998Q3";5,4945652173913
"1998Q4";4,91576086956522
"1999Q1";4,75
"1999Q2";4,75274725274725
"1999Q3";5,10326086956522
"1999Q4";5,375
"2000Q1";5,69230769230769
"2000Q2";6,25274725274725
"2000Q3";6,5
"2000Q4";6,5
"2001Q1";5,61111111111111
"2001Q2";4,32417582417582
"2001Q3";3,5625
"2001Q4";2,14402173913043
"2002Q1";1,75
"2002Q2";1,75
"2002Q3";1,75
"2002Q4";1,44565217391304
"2003Q1";1,25
"2003Q2";1,23351648351648
"2003Q3";1
"2003Q4";1
"2004Q1";1
"2004Q2";1,00274725274725
"2004Q3";1,41847826086957
"2004Q4";1,94021739130435
"2005Q1";2,43888888888889
"2005Q2";2,91483516483516
"2005Q3";3,42391304347826
"2005Q4";3,96739130434783
"2006Q1";4,42777777777778
"2006Q2";4,89835164835165
"2006Q3";5,25
"2006Q4";5,25
"2007Q1";5,25
"2007Q2";5,25
"2007Q3";5,17934782608696
"2007Q4";4,52445652173913
"2008Q1";3,21703296703297
"2008Q2";2,07967032967033
"2008Q3";2
"2008Q4";1,05978260869565
"2009Q1";0,25
"2009Q2";0,25
"2009Q3";0,25
"2009Q4";0,25
"2010Q1";0,25
"2010Q2";0,25
"2010Q3";0,25
"2010Q4";0,25
"2011Q1";0,25
"2011Q2";0,25
"2011Q3";0,25
"2011Q4";0,25
"2012Q1";0,25
"2012Q2";0,25
"2012Q3";0,25
"2012Q4";0,25
"2013Q1";0,25
"2013Q2";0,25
"2013Q3";0,25
"2013Q4";0,25
"2014Q1";0,25
"2014Q2";0,25
"2014Q3";0,25
"2014Q4";0,25
"2015Q1";0,25
"2015Q2";0,25
"2015Q3";0,25
"2015Q4";0,290760869565217
"2016Q1";0,5
"2016Q2";0,5
"2016Q3";0,5
"2016Q4";0,546195652173913
"2017Q1";0,794444444444444
"2017Q2";1,04395604395604
"2017Q3";1,25
"2017Q4";1,29891304347826
"2018Q1";1,52777777777778
"2018Q2";1,7967032967033
"2018Q3";2,01086956521739
"2018Q4";2,28260869565217
"2019Q1";2,5
