"Datum";"Saison"
"1991Q1";0
"1991Q2";0
"1991Q3";1
"1991Q4";1
"1992Q1";0
"1992Q2";0
"1992Q3";1
"1992Q4";1
"1993Q1";0
"1993Q2";0
"1993Q3";1
"1993Q4";1
"1994Q1";0
"1994Q2";0
"1994Q3";1
"1994Q4";1
"1995Q1";0
"1995Q2";0
"1995Q3";1
"1995Q4";1
"1996Q1";0
"1996Q2";0
"1996Q3";1
"1996Q4";1
"1997Q1";0
"1997Q2";0
"1997Q3";1
"1997Q4";1
"1998Q1";0
"1998Q2";0
"1998Q3";1
"1998Q4";1
"1999Q1";0
"1999Q2";0
"1999Q3";1
"1999Q4";1
"2000Q1";0
"2000Q2";0
"2000Q3";1
"2000Q4";1
"2001Q1";0
"2001Q2";0
"2001Q3";1
"2001Q4";1
"2002Q1";0
"2002Q2";0
"2002Q3";1
"2002Q4";1
"2003Q1";0
"2003Q2";0
"2003Q3";1
"2003Q4";1
"2004Q1";0
"2004Q2";0
"2004Q3";1
"2004Q4";1
"2005Q1";0
"2005Q2";0
"2005Q3";1
"2005Q4";1
"2006Q1";0
"2006Q2";0
"2006Q3";1
"2006Q4";1
"2007Q1";0
"2007Q2";0
"2007Q3";1
"2007Q4";1
"2008Q1";0
"2008Q2";0
"2008Q3";1
"2008Q4";1
"2009Q1";0
"2009Q2";0
"2009Q3";1
"2009Q4";1
"2010Q1";0
"2010Q2";0
"2010Q3";1
"2010Q4";1
"2011Q1";0
"2011Q2";0
"2011Q3";1
"2011Q4";1
"2012Q1";0
"2012Q2";0
"2012Q3";1
"2012Q4";1
"2013Q1";0
"2013Q2";0
"2013Q3";1
"2013Q4";1
"2014Q1";0
"2014Q2";0
"2014Q3";1
"2014Q4";1
"2015Q1";0
"2015Q2";0
"2015Q3";1
"2015Q4";1
"2016Q1";0
"2016Q2";0
"2016Q3";1
"2016Q4";1
"2017Q1";0
"2017Q2";0
"2017Q3";1
"2017Q4";1
"2018Q1";0
"2018Q2";0
"2018Q3";1
"2018Q4";1
"2019Q1";0
"2019Q2";0
"2019Q3";1
"2019Q4";1
